Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0011091,Scribus,JLuc,,normal,minor,have not tried,,User Interface,2012-09-23,,,,public,2016-05-19,Forced end of line (SHIFT ENTER) should be considered as word separator,new,open,
0011036,Scribus,ale,,normal,feature,N/A,1.5.0svn,Canvas,2012-08-19,,,,public,2016-05-19,"snap to items should relate to all the pages in the ""layout""",new,open,
0013885,Scribus,Kunda,,normal,minor,always,1.5.2.svn,OS-MacOSX,2016-03-31,Yosemite,10.10.5,MacOSX,public,2016-05-19,OSX: Moving an item moves the page,confirmed,open,
0012409,Scribus,FirasH,,normal,minor,always,1.5.0svn,Undo/Redo,2014-06-18,openSUSE,13.1,x86_64,public,2016-05-19,"Undo/Redo does not restore the position of ""Transformation"" Copies",confirmed,open,
0010615,Scribus,nakamoto,,normal,major,always,1.4.1.svn,Printing,2012-03-01,,,All,public,2016-05-19,"Text is treated as graphics in printing,  translated PDF is huge.",new,open,
0009617,Scribus,gpittman,,normal,feature,N/A,1.4.0svn,Usability,2010-12-25,,,,public,2016-05-19,need some usability features for Transform,new,open,
0000924,Scribus,kirun0,,normal,feature,always,1.3,User Interface,2004-08-01,any,any,any,public,2016-05-19,Transfoms in Multiple Duplicates,acknowledged,open,
0011173,Scribus,pygmee,,normal,feature,N/A,1.5.0svn,Canvas,2012-11-16,Ubuntu,12.04,x86,public,2016-05-19,Merge rotate tool with selector tool,new,open,
0013835,Scribus,Kunda,,normal,tweak,have not tried,1.5.2.svn,Build System,2016-03-21,,,,public,2016-05-17,Scribus dependencies minumum version list,new,open,
0014057,Scribus,andreasn1,,normal,minor,have not tried,1.5.2.svn,User Interface,2016-05-14,,,,public,2016-05-17,Icons look all blocky on a HiDPI screen,confirmed,open,
0014070,Scribus,Kunda,,normal,tweak,always,1.5.3.svn,Graphics / Image Frames,2016-05-17,Yosemite,10.10.5,MacOSX,public,2016-05-17,disabling 'Image Visible' triggers imprecise Action History description,new,open,
0010562,Scribus,wrgrant,,normal,minor,always,1.4.0,Text Frames / Story Editor,2012-02-01,Mac OS X,10.7.2,Mac,public,2016-05-16,Story editor assign style to multiple lines fails for font size,new,open,
0009454,Scribus,neoarttec,,normal,feature,N/A,,Plug-ins,2010-10-30,,,,public,2016-05-16,Image Browser - Tag Management,new,open,
0009450,Scribus,neoarttec,,normal,feature,N/A,1.5.0svn,Plug-ins,2010-10-30,,,,public,2016-05-16,Image Browser - Feature Request - Digikam Tags,new,open,
0012579,Scribus,FirasH,,normal,minor,always,1.5.0svn,Undo/Redo,2014-07-31,openSUSE,13.1,x86_64,public,2016-05-15,"Undo/Redo records redundant actions using ""Replace Colors""",confirmed,open,
0012531,Scribus,FirasH,,normal,minor,always,1.5.0svn,Undo/Redo,2014-07-16,openSUSE,13.1,x86_64,public,2016-05-15,"Undo does not respect ""Override Master Page Sizing""",confirmed,open,
